,circuit,conn_id,post_tnid,theta,phi,angle_from_xy,rotation_on_xy
112,ORN-PN,3734001,3734014,1.5070966043874858,1.8801811345873127,0.06369972240741073,1.8801811345873127
113,ORN-PN,3734766,3734783,0.8377935775736447,-2.700909526765334,0.7330027492212519,0.4406831268244593
114,ORN-PN,3734766,3734803,1.4373075487997429,-0.8297210622305058,0.13348877799515368,2.3118715913592873
115,ORN-PN,3735595,3735610,0.6840096258553808,-3.1215706318871876,0.8867867009395157,0.020022021702605475
116,ORN-PN,3735682,3735695,1.349824029109669,-0.34421993726741174,0.22097229768522753,2.797372716322381
117,ORN-PN,3735867,3735874,0.3302240263059793,-2.8677511316856843,1.2405723004889173,0.2738415219041088
118,ORN-PN,3735867,3735935,2.4489899415277727,0.2616377071259955,0.8781936147328762,0.2616377071259955
119,ORN-PN,3736154,3736161,1.7310495526289338,-2.6102878346876106,0.16025322583403723,0.5313048189021825
120,ORN-PN,3736154,6498936,2.546989317622561,-0.25815215380534373,0.9761929908276645,2.8834404997844496
121,ORN-PN,3736251,3736264,2.036831421475006,0.46530927208795125,0.4660350946801093,0.46530927208795125
122,ORN-PN,3736251,6113335,1.3478631269544046,-0.08491338036087331,0.22293319984049198,3.05667927322892
123,ORN-PN,3736335,3736358,1.8556181562107286,-1.0171609516401516,0.284821829415832,2.1244317019496415
124,ORN-PN,3736647,3736653,1.9234925284635263,2.2004458486767406,0.3526962016686297,2.2004458486767406
125,ORN-PN,3737210,3737216,1.9286511420305774,-2.1154386668284575,0.35785481523568086,1.0261539867613356
126,ORN-PN,3739965,3740000,1.6419687654449842,-0.2687876006232467,0.0711724386500876,2.8728050529665463
127,ORN-PN,3739965,7851135,1.4262147041824453,-0.3424186497445193,0.14458162261245122,2.7991740038452737
128,ORN-PN,3740246,6496283,1.4912895681020384,2.59723988490119,0.07950675869285817,2.59723988490119
129,ORN-PN,3742825,3742838,1.8764249993636544,0.17540081041833727,0.3056286725687578,0.17540081041833727
130,ORN-PN,3763690,3763696,1.8983647762350377,-0.23237868224010622,0.3275684494401412,2.9092139713496867
131,ORN-PN,3763714,3763727,1.9986732714943147,2.819123712624477,0.42787694469941817,2.819123712624477
132,ORN-PN,3763759,3763765,2.1634419737935917,-1.092695146670811,0.5926456469986952,2.048897506918982
133,ORN-PN,3763759,3763779,0.9568024681301694,1.9555251531805002,0.6139938586647271,1.9555251531805002
134,ORN-PN,3764371,6497628,0.4083146887356883,-0.7651170241875175,1.1624816380592082,2.3764756294022757
135,ORN-PN,3764371,6497694,1.5627403680450356,0.14951971535575997,0.00805595874986098,0.14951971535575997
136,ORN-PN,3764371,7460863,2.304572697746604,-1.6791471825743027,0.7337763709517073,1.4624454710154904
137,ORN-PN,3764454,3764460,2.5466951804230527,2.907070691577179,0.9758988536281561,2.907070691577179
138,ORN-PN,3764454,7460897,,,,
139,ORN-PN,3764454,7858096,,,,
140,ORN-PN,3764816,6823182,2.73558879318556,-1.7743956617960877,1.1647924663906633,1.3671969917937055
141,ORN-PN,3764816,7855720,1.5709507439515593,-0.9757750657916385,0.00015441715666275613,2.1658175877981547
142,ORN-PN,3764859,6497933,0.7626326865577953,-0.08913913578130707,0.8081636402371013,3.052453517808486
143,ORN-PN,4325302,4325322,1.5156516091068661,0.6260669051856231,0.05514471768803042,0.6260669051856231
144,ORN-PN,4327733,4327760,1.5282774010552302,1.0463875829617222,0.04251892573966631,1.0463875829617222
145,ORN-PN,4327733,7711664,1.5439065825868301,0.793236500954944,0.026889744208066446,0.793236500954944
146,ORN-PN,4327828,5324330,2.388953164323929,-2.9105784469770746,0.8181568375290325,0.23101420661271854
147,ORN-PN,4327828,5702873,,,,
148,ORN-PN,4327974,4327987,1.0382099070935769,2.041861544487612,0.5325864197013197,2.041861544487612
